duration_minutes,guest,date,session,anonymized_name
195,No,31.10.2023,1,def38455859ad75e499820e9747f215d
163,Yes,31.10.2023,1,1eddec942ea3cca17a070e3fb1cfe61c
159,Yes,31.10.2023,1,9d0f4c5a7802b0aa5e67c0c12e30ccde
7,Yes,31.10.2023,1,eec84328800698083fde746b8c76422e
125,Yes,31.10.2023,1,b513ea20d309fd36179cc10ceb717a9c
138,Yes,31.10.2023,1,e80c9bbde1987fdf494f3da1e16f390a
180,No,31.10.2023,1,68ad54301392889b4d05cb42d9569d48
178,Yes,31.10.2023,1,53403708eb35dbedfd3cd2fd1f099fe7
177,Yes,31.10.2023,1,253e8d0a241fb49e4b7058eaa17f0bd6
136,Yes,31.10.2023,1,36562a7f476a9bd1577a82ddd6d3d8aa
63,Yes,31.10.2023,1,7c265df77b89c855f0bbe01a46712c92
170,Yes,31.10.2023,1,aa651d14b21fa697256640e5fe36b670
169,Yes,31.10.2023,1,4956c4690e9218453f6bdec4c6285b8c
172,Yes,31.10.2023,1,f9a898362f5d2e8d1e24977eb78e540d
168,Yes,31.10.2023,1,eed076246b60bc6bc91cbf3830cb6dd4
59,Yes,31.10.2023,1,f32c8f4b55c4ead07e7998725af06a01
148,Yes,31.10.2023,1,21aa9f49610aaedbb3ca6d156091c78f
168,Yes,31.10.2023,1,da36a0f1a2f72046c696a8449e5f94b9
211,Yes,31.10.2023,1,839d29a31c7275d3696b3e09e6dc8f02
96,Yes,31.10.2023,1,f30e8a1ccd99b87ffc4d71767de1f0db
165,Yes,31.10.2023,1,de588f921dc4657bdc81e111cf470d41
133,Yes,31.10.2023,1,0cf1db7835f8dac21b6b513094193c40
163,Yes,31.10.2023,1,b152b1912798603cfb1ac6689b09f970
96,Yes,31.10.2023,1,1b2a9114e01d3db1f74520df73d27ae2
31,Yes,31.10.2023,1,e3cb9623851df57eda567a9644ced562
164,Yes,31.10.2023,1,eece88ff4ce42d9f7d448705863e960b
162,Yes,31.10.2023,1,710ff2a784b6e780a824bd0bcaaa3a0f
272,Yes,31.10.2023,1,eda17b27c94f59aea75d9a17b9ce53f5
205,Yes,31.10.2023,1,00ca4671e09e5ecf98faecb9bbfbba35
160,Yes,31.10.2023,1,ff64cea2dc7ffe85b0e77db35aa61e35
163,Yes,31.10.2023,1,1f089b8851e8479682b68f9f114af080
160,Yes,31.10.2023,1,608d4b30f0ddb1d3a13d02df9edfe27d
160,Yes,31.10.2023,1,0c73c79ec85d48d0be5a94fe41b17d16
159,Yes,31.10.2023,1,fa41476bfaa3dbabeb8599f6899dfbe2
139,Yes,31.10.2023,1,2631c29d7c52db9ac2d60348d0eda302
67,Yes,31.10.2023,1,7dc10672c3dd6b0b50ab8a95645e1115
159,Yes,31.10.2023,1,8e217172305b286f46a77989b66f49a0
159,Yes,31.10.2023,1,0573bf3b89a34ea041726c1efe329e73
159,Yes,31.10.2023,1,b9e887e8f7035380f3fd3fc885b7fbbd
159,Yes,31.10.2023,1,831f5a44c1f3f4eef10c2ed1c462eee6
18,Yes,31.10.2023,1,3d3a5da46b189ede2f2eca40d9ff82c2
440,Yes,31.10.2023,1,25599a243094afd64cfd86d44d9e91ef
149,Yes,31.10.2023,1,db7f7c92aae6450753eb9d7bef41e439
158,Yes,31.10.2023,1,b5ba3569779f8fe9c002bed17f16ad4b
158,Yes,31.10.2023,1,dfc523d9490bc948f33b1be6d6b74fbc
158,Yes,31.10.2023,1,46cbb3253205c46166da5cb3853ebdd8
157,Yes,31.10.2023,1,498db41a3e0ac4e4d38107d463f298a5
85,Yes,31.10.2023,1,1ecfb9db6686bc53ddadd83bad4e6721
158,Yes,31.10.2023,1,df5c8ed769fd5f9cffd1f45a38b4b070
157,Yes,31.10.2023,1,a9b6b7036bd046fc84687a68bb22c08f
11,Yes,31.10.2023,1,0eb55f2cb40c508579554a2489dbee7d
128,Yes,31.10.2023,1,3e62324482bfebc2872db3d45aff69f4
157,Yes,31.10.2023,1,73fe85a58705434af0f04d0695edd2ed
157,Yes,31.10.2023,1,45d6b4cb528be525afb5655b29f02bd5
157,Yes,31.10.2023,1,006c01d1724f1cd306f1ce5c88e35708
157,Yes,31.10.2023,1,5c5cfadfd67d7d19e16323fc34539c56
156,Yes,31.10.2023,1,a9bc1563368c26026d299e96f26b8f3b
49,Yes,31.10.2023,1,12bea4cdc99cf2fa6500933ce6550228
156,Yes,31.10.2023,1,b4a0385607d4e29295da47428431a031
200,Yes,31.10.2023,1,0fdf45394145c4aa2e78d01cb57a13de
156,Yes,31.10.2023,1,e80bceb7fd5d057242ce5c6756a50172
157,Yes,31.10.2023,1,bebc50c2d289eef1dede92f5fe546442
158,Yes,31.10.2023,1,a813d3dc42a3c051596315f6ba743d69
156,Yes,31.10.2023,1,4caabe71f8465a4f56ec77615f9e6798
156,Yes,31.10.2023,1,42e4900db5ae059fa3fbd5d575de8301
29,Yes,31.10.2023,1,7e40fe171bd92ef104dfee802ae244bb
155,Yes,31.10.2023,1,f2ce3f6d0cfd817bb48901dd9aa782cc
